Year,Company,Actual_Target 1,Actual_Target 2,Actual_Target 3,Predicted_Target 1,Predicted_Target 2,Predicted_Target 3,Type
2002,Goodricke Group,-49.56,-111.72,-87.83,-30.946611,-51.024246,-73.98071,Test
2006,Heubach Colorant,42.7296,92.32042,154.11826,40.0658,111.014145,144.02844,Test
2016,MOIL,20.299334,58.075,109.75616,25.923067,71.75505,138.7402,Test
2016,Canara Bank,78.09,173.83,68.6626,39.176777,115.27147,31.163336,Test
2004,Voith Paper,-71.65,-104.49,-84.31,-24.311193,-22.760502,-29.705954,Test
2006,CEAT,44.79,18.543333,78.16,29.341368,83.18921,94.450775,Test
2008,Lanco Infratech,21.862728,50.093,82.23333,7.967052,41.030136,89.270294,Test
2003,Andhra Paper,-73.03,-92.33,-65.94,-56.054367,-66.23786,-72.46596,Test
2014,Uflex,-9.715,-52.636,-65.612,-24.880919,-20.29154,-28.83434,Test
2015,B H E L,-117.64,-90.95,-134.82,-47.284664,-73.09784,-74.02298,Test
2014,OCL Iron & Steel,-3.791875,-14.952666,-23.145714,7.351825,33.348255,9.94237,Test
2022,Central Bank,65.55643,87.47769,142.35,36.997303,66.63906,98.25931,Test
2006,Fedders Electric,41.089413,110.57625,235.924,42.035004,127.49689,219.63257,Test
2004,Berger Paints,-68.06,-111.43,74.475,-26.339327,-18.20769,48.49598,Test
2018,Engineers India,-50.1,-106.33,-131.54,-64.6658,-90.98667,-111.17178,Test
2021,KSE,40.570454,131.62666,172.8295,73.13667,133.57089,155.26775,Test
2020,Mindtree,59.66111,71.68875,50.624287,35.297894,56.185616,62.24591,Test
2024,Orient Electric,23.2105,55.89737,81.791664,23.324133,75.10832,98.503716,Test
1999,Garden Silk Mill,-21.12,-59.34,-55.05,-36.756626,-47.055084,-73.558,Test
2002,H P C L,-62.36,-119.63,-137.47,-45.491875,-72.523056,-73.11362,Test
2002,Birla Corpn.,-84.81,-13.21,-188.66,-39.323997,-52.229286,-95.63234,Test
2009,Rolta India,13.535714,-28.511667,-2.97,7.445989,15.327227,32.05513,Test
2016,AIA Engineering,-68.71,-77.82,-125.93,-19.051468,-29.095469,-52.404217,Test
2018,Cipla,-33.75,-18.77,-246.26,-53.27863,-83.1174,-157.50273,Test
2020,M R P L,-45.17,-60.73,-24.61,-20.64892,-25.698805,-34.59903,Test
2016,Jamna Auto Inds.,26.798262,43.407272,58.03381,12.9253645,45.711823,98.85864,Test
2009,Prakash Industri,-41.18,-25.52,-75.06,-20.18796,-28.71647,-56.441387,Test
2011,Dr Reddy's Labs,-90.08,-98.47,-140.56,-53.02599,-74.91827,-101.642365,Test
2008,Tech Mahindra,-25.91,35.13778,40.6175,-1.7501045,11.251774,20.08412,Test
2015,Balmer Law. Inv.,20.498125,27.036667,41.759285,26.800941,11.654589,19.822329,Test
2009,Surana Industrie,13.674,25.08,78.776665,-3.496901,-5.8084335,26.147203,Test
2012,Bank of Maha,14.06,38.51,73.793335,2.7470613,27.52632,51.828537,Test
2012,BF Investment,60.7075,45.755333,69.81715,24.619225,46.040188,76.495056,Test
2002,SRF,22.678333,74.85,104.295,37.039104,38.298965,69.589745,Test
2015,Shakti Pumps,44.7392,112.1025,196.99739,42.027813,133.03032,201.63188,Test
2003,Glaxosmi. Pharma,-45.53,-48.076668,-16.315,-8.335622,-6.3049107,-16.004427,Test
2014,Cairn India,18.184,10.607778,6.7675,20.65526,14.769411,-36.757233,Test
2008,XL Energy,-57.34,17.11,10.02,-29.255503,-31.892347,-41.96066,Test
2010,PVP Ventures,-11.9,13.752916,1.5178261,2.7998486,29.651077,42.709198,Test
2024,Pidilite Inds.,31.583334,52.070587,81.82188,33.36928,65.26497,75.273575,Test
2017,Mahanivesh (I),37.885,133.19333,235.71,30.137339,123.31814,212.54811,Test
2022,RSWM Ltd,-33.14,-107.67,-84.13,-47.968117,-71.3556,-93.26999,Test
2014,Den Networks,45.58,152.45334,213.565,43.775845,121.06151,205.89528,Test
2013,Fomento Resorts,-34.39,-91.1,-138.27,-36.61362,-51.35536,-70.99217,Test
2023,JP Associates,-23.81,-16.203333,-48.14,-12.393348,-12.226761,-13.514652,Test
1999,Usha (India),37.3588,106.485,175.34653,30.47259,67.25174,109.003006,Test
2005,R C F,28.4684,86.730415,183.44522,32.97292,96.66545,186.89738,Test
2012,Prakash Industri,54.015907,167.70619,425.2855,47.384617,165.25018,379.48297,Test
2024,Hinduja Global,-32.05,-2.5733333,-12.81,-25.588057,-14.002462,5.3290887,Test
2023,Ramco Inds.,-22.31,-22.59,-20.8,-16.090681,-8.198942,-13.706063,Test
2024,Sindhu Trade,8.002,18.852106,29.51389,0.95742285,-8.24423,-29.712725,Test
2019,Shalby,21.6024,42.53875,78.732605,29.584515,42.03274,54.45347,Test
2024,SEAMEC Ltd,18.04029,413.72,68.6626,22.533808,73.71714,21.120562,Test
2004,Hikal,22.7004,42.57,78.61348,23.223787,50.14279,45.572983,Test
2015,Thomas Cook (I),-29.21,0.028,5.38,-6.411053,9.950373,4.6406283,Test
2018,Guj.St.Petronet,23.354445,32.2225,38.6125,1.4060923,6.3404408,14.675796,Test
2021,Avadh Sugar,-0.21666667,16.16125,18.147142,-5.004471,-7.5943832,-14.279984,Test
2012,Naperol Invest.,43.406666,59.506,31.8475,31.732718,29.250673,9.195731,Test
2009,Prime Focus,3.0616667,-21.26,-46.975,-10.895163,-17.025074,-19.762484,Test
2019,Orient Green,16.5172,42.40708,71.13043,17.668203,62.93508,83.489815,Test
2018,Emami,-7.19,-42.905,-48.43,-33.787956,-47.403065,-57.805336,Test
2022,Tilaknagar Inds.,37.34,122.02167,272.202,49.83935,110.09964,216.6373,Test
2020,Venky's (India),49.29647,81.413124,155.56134,20.435888,60.747574,108.471634,Test
2007,Swaraj Engines,87.175,261.02,68.6626,73.85851,203.48978,88.66176,Test
2023,Shaily Engineer.,-6.48,3.4766667,1.33,-8.002142,-6.8792267,-13.002175,Test
2007,Nucleus Soft.,-0.185,-7.2407694,-11.531667,26.40061,23.849165,-3.8608184,Test
2023,La Opala RG,-95.55,-117.4,-155.9,-61.048122,-69.80324,-83.084335,Test
2009,Kirl. Ferrous,-97.85,11.853333,-91.58,-17.395954,-22.683695,-41.48652,Test
2019,Bharat Forge,-38.67,26.83,8.14,-10.40496,15.969395,29.164085,Test
2023,S A I L,24.728182,43.362,56.354443,17.201887,41.410583,46.540775,Test
2007,Indian Hotels Co,-66.36,-85.64,-56.54,-37.841427,-20.405638,-6.7327113,Test
2019,Butterfly Gan Ap,22.178421,25.587778,45.362354,16.501192,37.209152,51.13893,Test
2008,SRF,-70.72,-116.6,-137.96,-34.14871,-48.401485,-93.301926,Test
2018,Power Mech Proj.,-11.76,-22.18,-86.47,-26.489626,-18.34825,-11.074609,Test
2014,Reliance Industr,-71.33,-58.63,-79.82,-23.294523,-21.476679,-35.18824,Test
2014,Infosys,47.712,138.9375,140.93,23.040083,121.0909,163.80759,Test
2019,Nippon Life Ind.,-8.71,-24.62,1.55,-24.216433,-8.627691,21.335325,Test
2019,I O B,-51.77,-55.68,-23.72,-14.85361,-5.841837,-4.709865,Test
2005,Mangalore Chem.,25.7956,36.234585,58.731304,18.093332,54.556435,60.561802,Test
2001,Eicher Motors,8.0924,34.12875,71.53478,26.306536,57.260498,85.917465,Test
2013,Mahanivesh (I),-51.4,-110.61,670.14355,-50.472664,-18.443419,707.76764,Test
2014,Radico Khaitan,98.5375,269.35333,520.265,112.062225,326.93567,564.8292,Test
2022,Sharda Cropchem,-24.883333,-17.48,-94.22,-34.332634,-43.218384,-78.72508,Test
2015,Grauer & Weil,-2.4433334,-47.105,-48.24,-20.265905,-24.644186,-23.800781,Test
2018,SMS Pharma.,4.8,16.29,30.047777,4.3211503,20.96249,52.525925,Test
2010,SEAMEC Ltd,-10.88125,-21.25625,-52.76625,-8.523156,-2.413481,-5.1317477,Test
2012,Natl. Aluminium,-10.846666,-24.602,-44.9125,-10.678288,-31.702475,-47.10321,Test
2013,Petronet LNG,4.855,-2.82,68.6626,19.329592,-19.85184,48.75747,Test
2017,Indus Towers,10.54,11.8525,14.795455,2.5078511,44.324364,14.291556,Test
1999,Mawana Sugars,1.5925,10.823334,-45.685,-6.818702,-3.0373518,-41.3507,Test
2009,Milkfood,0.37833333,-3.368,-24.1175,15.493945,15.887053,5.3923173,Test
2011,Zylog Systems,5.701667,-16.394,-37.18,-25.951056,-35.16791,-44.53453,Test
2011,NHPC Ltd,-53.67,-95.98,-116.68,-35.25658,-57.795776,-87.749794,Test
2012,Rel. Indl. Infra,-32.28,-6.1525,-3.7975,-27.05484,-32.01014,-29.314049,Test
2023,Renaiss. Global,21.5148,44.71792,87.49522,45.71661,89.68413,121.3318,Test
2012,Khoday India,-50.03,-73.99,68.6626,-22.655348,-23.500412,33.06732,Test
2007,Infosys,4.8869233,16.693333,27.428183,9.808089,11.53233,18.90288,Test
2019,Welspun Living,-9.58,-12.614546,-23.41,1.6523386,16.956825,-42.15288,Test
2003,Bank of Punjab,-16.916666,-45.575,-64.18,-39.559723,-49.41556,-50.989494,Test
2021,Honeywell Auto,-2.35,-32.84,-90.53,-17.080511,-6.465143,-37.469612,Test
2011,Zee Entertainmen,-50.38,5.51,18.68625,-1.2733549,10.349233,37.920746,Test
2009,John Cockerill,43.696,85.4975,166.99,27.536968,61.793198,98.6163,Test
2018,NCL Industries,25.39077,66.475,132.18182,29.331324,59.286713,104.8374,Test
2024,Prem. Explosives,-51.13,-77.34,-102.57,-36.867588,-48.22332,-61.280457,Test
2023,Siyaram Silk,-3.4842858,-13.777692,-30.5725,17.401182,14.035952,-24.165071,Test
2001,Balaji Distill.,-12.006667,-45.64,-57.32,-11.035415,-17.864223,-1.8873171,Test
2017,Jaypee Infratech,33.086,51.107082,72.82261,25.524035,56.880913,87.300446,Test
2011,Rasoya Proteins,-52.815,-76.27,68.6626,-23.051298,-35.66307,-35.568073,Test
2024,Kingfa Science,22.390589,24.369375,51.27,33.37432,58.117638,55.230415,Test
2021,Syngene Intl.,-71.71,-77.9,-88.35,-37.330803,-47.439396,-61.825676,Test
2012,Reliance Industr,4.9575,30.367144,82.09333,-4.182575,15.922119,36.84411,Test
2002,Tata Inv.Corpn.,-43.14,-39.88125,-58.865715,-16.951607,-19.40845,-17.927032,Test
2013,Helios Matheson,72.962,106.135,118.886665,52.170235,101.61316,98.92314,Test
2015,Ganesh Housing,-54.09,-71.84,-24.53,-19.390295,-23.963196,-22.031183,Test
2009,Ramsarup Inds.,9.785,16.42,-14.045,-11.509249,-13.012695,-18.232086,Test
2000,Duncans Industri,16.963333,-26.45,-8.9,-8.968551,-22.942965,-23.353945,Test
2016,Siti Networks,-2.22,-19.843334,-27.955,7.409392,-8.941286,-44.240196,Test
2001,GE Shipping Co,36.936,75.86417,114.74739,35.912968,98.49981,136.30043,Test
2014,Rander Corpn.,46.103333,156.965,181.76,47.484756,96.33245,108.23801,Test
1999,Chola Financial,-1.9578571,-3.4730768,-11.169167,0.36769354,4.904131,-30.824358,Test
2012,Infinite Comp,28.512,96.907776,192.49625,28.324709,91.8022,181.611,Test
2003,Lila Worldwide,3.1384,1.6441667,0.4921739,17.492186,37.092194,16.421415,Test
2021,Newgen Software,22.05,0.28,-13.07,-4.508578,3.8687112,-1.8090957,Test
2010,Yantra Natural,32.7168,79.597084,206.42912,29.690565,81.2311,170.98616,Test
2014,3M India,-54.26,-56.37,-66.55,-36.780613,-41.67576,-56.29181,Test
2012,Guj Inds. Power,6.683077,-7.8341665,-7.893636,-4.152806,-7.9393387,-18.133085,Test
2013,Allcargo Logist.,2.1266668,-3.4552941,-8.32625,3.0790753,5.810831,6.0688996,Test
2010,Astrazeneca Phar,28.22,42.56,68.6626,19.767626,5.8314037,49.192413,Test
2004,T N Petro Prod.,5.0517645,28.62,35.656,15.21646,38.488922,42.276093,Test
2016,DIC India,15.363334,20.975,52.54,9.0969715,-5.7042828,5.3760514,Test
2019,G M D C,-7.495714,-20.725,-44.98,-4.0981307,-8.54051,-21.549166,Test
2013,Kokuyo Camlin,42.095654,60.272728,59.749523,46.6433,93.766335,74.978,Test
2003,Amb. Cem.Raj.-Me,18.698572,38.15692,53.5525,6.2447076,30.871561,57.07051,Test
2021,HDFC AMC,-64.97,-117.47,-139.32,-34.64957,-51.479553,-74.455124,Test
2004,Binani Industrie,14.48875,33.034286,20.821667,30.172213,29.652548,1.7865664,Test
2017,SPARC,-78.83,-25.994444,18.294,-43.02006,-8.6943035,4.267835,Test
2005,I O B,18.235,48.576,60.160713,19.254189,52.121956,72.78705,Test
2014,Tree House Edu.,28.23294,75.79,107.37334,24.343966,99.5802,108.49448,Test
2003,Noida Tollbridg.,7.7044,7.505833,13.8026085,4.2736993,13.310648,-7.71837,Test
2015,Simplex Infra,-92.73,-122.24,-29.68,-38.324795,-40.708237,-48.812943,Test
1999,EID Parry,58.956,79.830414,123.597824,37.989826,95.99492,119.09964,Test
2015,Videocon Inds.,28.096666,86.17125,129.35857,25.721523,52.166256,72.92976,Test
2001,Agro Tech Foods.,12.20625,29.422857,40.386665,6.0344625,13.449019,17.12234,Test
2006,Tata Steel Long,14.052222,43.6,57.474377,23.362566,40.517136,49.900223,Test
2014,Orissa Sponge,67.7225,123.53,192.32,57.419273,93.52562,152.2018,Test
2016,Mindtree,103.13333,87.689285,27.286922,35.643406,62.73359,69.94994,Test
2018,Shalby,25.669546,65.16143,114.01,16.857317,80.613495,142.90219,Test
2000,Visesh Infotec.,-35.64,-64.38,-78.82,-22.034245,-25.574842,-36.708237,Test
2015,HMT,-10.735,-101.29,-46.99,-36.535046,-49.573795,-60.071564,Test
2011,Indosolar,477.0,2350.24,68.6626,569.3544,2107.574,-104.75827,Test
2015,TTK Healthcare,54.836666,163.45,319.98,42.50873,166.67448,267.4184,Test
2005,Ingersoll-Rand,-45.205,-82.85,68.6626,-19.753473,-40.981117,-6.7949653,Test
1999,Federal-Mogul Go,-3.3519049,1.399,-2.6042106,-3.769033,2.688135,17.1332,Test
2006,Bongaigaon Ref,-9.666,-3.5225,-0.26,-22.849865,-23.195358,-30.972992,Test
2020,Yes Bank,24.344347,84.94727,178.95476,21.460447,68.24982,157.64043,Test
2004,S P I C,-80.16,-109.98,-148.85,-48.10178,-64.81497,-56.453396,Test
2002,Gufic BioScience,-105.3,-124.38,-44.5,-48.648624,-70.6343,-72.34456,Test
2020,J L Morison(I),-17.41,-24.52,-3.61,-11.680113,-8.478945,-15.67038,Test
2019,Whirlpool India,-79.13,4.87,-96.56,-36.57973,-51.48015,-62.82615,Test
2004,Nestle India,3.5528,10.92,5.405217,-0.08512628,17.542816,15.431426,Test
2021,Westlife Food,-20.25,-48.58,-34.865,-13.697401,-12.0025215,12.869386,Test
2014,Dhanuka Agritech,-9.478333,-23.47,-41.1975,-3.746758,-4.6015778,-12.211296,Test
2010,Subex,-81.32,5.596667,-12.57,-36.427845,-10.676607,-1.0386747,Test
2008,Dalmia Bharat,10.536667,36.76,52.544,7.4774575,25.683353,33.748405,Test
2020,ZF Commercial,34.769585,77.726524,113.02091,38.320362,83.158424,125.383995,Test
2002,Tata Tele. Mah.,-93.75,-125.85,-93.16,-19.135862,-86.376175,-81.80775,Test
2018,Hindustan Media,-93.87,-119.15,-143.61,-70.916374,-100.39607,-114.53551,Test
1999,Sun Pharma.Inds.,3.6483333,13.728,25.675,16.289766,24.329332,16.384886,Test
2024,Shanthi Gears,-79.99,3.585,-7.425,-31.321453,-15.396677,-20.551653,Test
2005,Uno Minda,9.339167,32.182728,55.233,17.27489,27.47552,71.05066,Test
2007,Vakrangee,2.1411765,-6.355625,-8.184,0.6192652,2.0693834,-9.5765085,Test
2008,Cranes Software,-57.29,-50.204285,30.035,1.3106323,8.181932,29.891655,Test
2022,Vishal Fabrics,10.5956,25.453333,58.38826,11.003388,26.067797,35.32911,Test
2023,Page Industries,-28.91,-39.23,-80.54,-41.964867,-33.512283,-25.101416,Test
2002,Lak. Vilas Bank,-43.135,-76.98,68.6626,-16.27897,-41.95768,9.901874,Test
2019,Piramal Enterp.,67.316666,134.54,136.66,48.843685,67.61037,41.098972,Test
2023,Indo Rama Synth.,-56.23,-63.72,-98.192,-25.069544,-39.491894,-47.53046,Test
2007,HDFC Bank,15.745238,19.5345,17.298422,33.318737,49.531876,41.277466,Test
2015,Vedanta,-70.92,-91.97,-125.36,-60.750988,-86.135216,-114.27667,Test
2010,Indo Tech.Trans.,7.797143,41.49,57.104,-3.930286,12.9242115,28.4619,Test
2008,Cholaman.Inv.&Fn,32.1675,64.776665,96.01,15.966985,29.439142,48.622917,Test
2024,Poonawalla Fin,35.12,103.01,68.6626,5.0545855,15.55809,7.206925,Test
2008,Amtek Auto,22.4212,55.395,116.05565,29.083017,70.532265,136.7207,Test
2003,Garware Hi Tech,-79.02,-57.91,-97.7,-57.200054,-74.421364,-100.78773,Test
2013,Suprajit Engg.,29.4225,-6.5314283,51.885715,13.638605,23.875662,43.458786,Test
2012,Kesoram Inds.,-4.81,-27.988,-52.2225,-9.46388,-28.214106,-64.4826,Test
2023,Mahindra Logis.,-0.86,5.5814285,21.971666,-7.3713813,-20.774427,-16.64992,Test
2015,Hawkins Cookers,65.07625,107.46933,158.35,53.218067,97.08116,161.52776,Test
2019,Rain Industries,-86.13,-102.41,-124.82,-64.05912,-89.25575,-112.10664,Test
1999,GFL,-152.11,-164.82,-158.82,-42.96616,-68.16171,-84.62188,Test
2003,Munjal Auto Inds,69.82286,153.70538,444.665,70.84991,191.54802,349.31665,Test
2015,Eros Intl.Media,3.8626087,12.43,27.006666,9.978541,28.986856,-7.9388747,Test
2023,Marksans Pharma,23.806,40.812916,68.26044,25.612543,50.768982,41.803818,Test
2011,Dhani Services,5.667,17.616316,36.962776,14.982547,29.970888,36.622406,Test
2015,EPL Ltd,12.955625,28.791334,68.72071,33.930515,33.255768,56.989265,Test
2015,Lovable Lingerie,25.4325,79.365265,172.43222,32.644722,108.70497,200.46513,Test
2015,Repro India,-22.805,-51.65,68.6626,-7.8243384,-23.695822,35.699287,Test
2020,Kansai Nerolac,-92.73,-123.17,-93.27,-64.82,-93.5484,-112.71554,Test
2024,Insolation Ener,24.935385,3.4,123.52091,14.056248,30.960962,104.183685,Test
2019,Hindustan Foods,11.732,23.166666,42.345,11.466239,33.780437,55.230057,Test
2020,Bosch,-21.4,-37.88,-72.1,-8.572666,-13.8042965,-29.081339,Test
2019,F A C T,-5.966,-55.994,-41.722,-11.890822,-18.856604,-17.254654,Test
2005,Warren Tea,48.553684,38.39111,370.97,41.544727,61.28367,363.6203,Test
2023,Indoco Remedies,34.713333,57.66375,151.42143,49.20911,74.68915,101.3034,Test
2017,Hindalco Inds.,-86.81,-32.86,-100.38,-19.943792,-30.365553,-36.550205,Test
2020,Coforge,9.65,-5.1025,-22.31,6.0302525,2.643873,-8.538362,Test
2002,Pan India Corpor,-0.735,-6.117778,-0.42166665,19.047764,36.925232,23.36836,Test
2019,Syndicate Bank,-22.87,-60.13,-84.46,-32.32411,-46.67933,-50.177856,Test
2019,Hinduja Global,-22.9,-18.75,13.8,-15.650097,3.813955,7.2660184,Test
2020,Kirloskar Oil,23.125454,60.928,105.727776,21.087969,52.520683,110.04898,Test
2020,Triven.Engg.Ind.,21.6044,27.009167,21.676521,26.688753,52.059647,20.617262,Test
2002,GlaxoSmith C H L,-75.09,-102.9,-104.22,-63.646748,-49.898724,-96.09393,Test
2022,Eveready Inds.,-5.98,-30.44,31.65,-5.8483934,11.163867,6.272387,Test
2006,Blow Plast,-54.41,-101.25,-110.53,-30.737608,-44.125046,-52.523632,Test
2000,VXL Instruments,-84.03,-117.81,-124.02,-46.766033,-73.680595,-88.65961,Test
2006,SVC Resources,-50.48,-58.44,-79.09534,-40.22909,-24.11772,-103.61979,Test
2019,TVS Elec.,9.445714,-5.4366665,-25.622,-4.545461,-2.7301848,-8.144242,Test
2020,Sanofi India,53.531113,157.1675,319.0643,74.17944,180.20593,304.2049,Test
2021,Asian Paints,19.50261,52.019547,35.978573,17.203278,41.908867,43.73665,Test
2019,Bombay Super Hyb,-27.84,1.56,23.5875,-44.464,-29.771452,-23.620836,Test
2011,Cals Refineries,69.795,110.23,68.6626,35.517838,84.44321,41.09799,Test
2000,Onward Technolog,22.76,36.454666,30.137857,26.023834,49.49649,23.576994,Test
2004,Prism Johnson,34.41111,48.72875,55.66857,8.007976,16.675741,37.675453,Test
1999,Wim Plast,-51.76,-99.12,-53.03,-33.75763,-44.461708,-69.85922,Test
2019,Asahi India Glas,-37.04,-28.35,-7.14,-36.644363,-41.381927,-47.474575,Test
2009,JK Tyre & Indust,3.762174,-0.13818182,6.071429,10.623416,14.626505,12.750197,Test
2010,India Securities,-8.48,-29.875,-18.966667,-18.339643,-26.787533,-26.602554,Test
2017,Shivam Autotech,-47.29,-51.915,-81.05,-32.384693,-48.82442,-71.56282,Test
2004,NLC India,-111.98,52.6125,97.11667,-8.322311,34.079212,57.76801,Test
1999,Container Corpn.,212.65857,156.28334,81.428,78.642624,121.66641,100.41479,Test
2021,Equitas Holdings,-11.074,-30.9725,-74.73333,-20.70483,-33.053444,-67.27792,Test
2004,Shirpur Gold,-40.98,-10.66,-47.71,-25.510408,-29.076624,-34.816975,Test
1999,Rel. Petro (Merg,26.156666,56.245,8.07,2.7486253,19.509935,-19.107378,Test
2017,Sterlite Tech.,-93.3,-127.39,-127.48,-63.095493,-83.595566,-96.075226,Test
2011,O N G C,-41.29,-19.45,-34.16,-44.133244,-59.542374,-62.577515,Test
2012,Neueon Towers,-32.983334,-62.06,6.2933335,-30.815975,-34.202095,-45.468838,Test
2000,RPG Cables,56.175713,-74.721664,-112.514,55.367672,-26.515387,-92.604614,Test
2002,Mega Corp.,-43.58,-83.14,-59.31,-20.011526,-17.013453,-26.751038,Test
2015,Sanghi Industrie,4.25,-3.2,8.32,-8.300111,-36.33974,-16.48047,Test
2017,Ujjivan Fin.Ser.,-68.26,-104.59,-116.69,-64.97835,-78.19952,-109.62958,Test
2003,JBF Industries,22.72,1.6725,-29.016666,11.286624,-6.8325787,-26.295494,Test
2017,Titan Company,17.28,34.18909,28.241,3.7623906,8.855282,20.283735,Test
2005,Blue Star Info.,39.3904,99.56375,217.07434,32.499783,83.556564,226.61101,Test
2014,SREI Infra. Fin.,-35.74,-66.22,-1.33375,-6.3355126,-1.0348418,-0.53113306,Test
2020,Mahindra EPC,48.0816,75.4925,149.54434,21.027418,46.05448,118.48454,Test
2009,Rajesh Exports,28.446667,10.98,-4.29,-8.694415,-17.575018,-34.240402,Test
2019,Panama Petrochem,10.19,14.081429,23.646667,6.2840066,-0.027111292,-11.029321,Test
2012,Orient Green,3.35625,11.21,8.645,-9.13321,-4.044878,-7.9044623,Test
2006,Escorts Kubota,13.4777775,25.30889,8.4625,-9.74241,12.899389,12.80828,Test
2017,Nitin Spinners,0.84,-106.72,-44.674,-44.027252,-58.156418,-75.119026,Test
2015,Carysil,-63.92,-105.93,6.24,-34.08443,-40.696266,-53.442566,Test
2022,Salasar Exterior,63.0472,195.59125,404.8113,52.816685,171.42534,362.1326,Test
2010,Everonn Educat.,23.083334,74.33625,120.34857,27.649931,58.755585,100.252754,Test
2002,Pidilite Inds.,16.042,40.209583,67.59913,29.85871,59.713142,63.176987,Test
2023,Balrampur Chini,29.945833,13.518182,109.746,28.372072,69.39873,141.8471,Test
2012,Shree Ram Urban,22.5228,81.22375,147.65869,52.296852,76.90329,99.85288,Test
2017,Jayaswal Neco,28.556,66.10125,92.60304,17.995241,64.3456,117.70143,Test
2014,Hind.Natl.Glass,14.813847,29.579166,53.384544,13.342872,27.858114,43.612198,Test
2024,D.P. Abhushan,-17.92,-57.75,-110.34,-21.049335,-25.190659,-65.02673,Test
2011,Power Grid Corpn,-91.67,3.3833334,32.85,-13.598325,-16.90165,-9.191152,Test
2024,Cyient,-20.14,-112.83,-94.89,-62.919098,-78.76573,-87.70615,Test
2024,Federal Bank,-10.7375,-23.098572,-30.516666,6.564711,-12.799177,-47.566498,Test
2022,Patanjali Foods,74.149,239.19221,637.60876,84.25612,282.86035,670.45685,Test
2009,B.L.Kashyap,93.726,258.30554,297.77,65.67117,221.5544,367.91895,Test
2020,Navneet Educat.,327.705,125.39,68.6626,239.17593,99.76523,54.933624,Test
2014,South Ind.Bank,-78.36,-124.83,-82.52,-64.28007,-87.519135,-115.05476,Test
2017,HCL Technologies,19.9656,-0.43541667,-6.5630436,8.178485,15.723116,4.5789323,Test
2013,Sutlej Textiles,-23.82,-137.03,-195.79,-27.814722,-40.224438,-59.372192,Test
2017,PNB Gilts,26.934286,29.653847,56.1025,9.160461,38.41652,80.10414,Test
2008,Mah. Elektrosm.,13.735385,70.57166,190.8991,3.5998063,71.644,156.67252,Test
2008,UPL,-42.96,-71.67,-67.86,-22.312887,-32.54524,-58.001785,Test
2014,Aptech,-67.64,-110.66,-111.54,-65.69532,-95.966354,-112.33226,Test
2011,P & G Hygiene,-54.88,1.84,-63.61,-31.056778,-10.375374,-27.656721,Test
